Compound,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol,Nb_tol
WRhAl,3,5.889,10.201,17.022,173.652,-8.159,0,0.206,MBJ,51.067,191.566,5.333,9.719,3,4.673,2.276,1.335,6,0.404,89.421,1.255,24.254,1.452,25.705,1.064,9.239,0.1,
WRhB,3,5.553,11.542,14.27,164.701,-8.559,0,0.764,MBJ,42.81,239.525,5.333,0.101,3,0.049,2688.7455,0.207,8,0.052,2443.973,1.255,30.46,1.619,32.079,16.514,42.387,0.1,
WRhGa,3,5.884,11.621,16.978,197.31,-7.8,0,0.266,MBJ,50.935,195.501,5.333,0.57,3,0.274,163.5408,0.668,6,0.202,258.065,1.255,21.613,1.375,22.988,6.657,15.978,0.1,
WRhIn,3,6.107,11.712,18.979,222.271,-7.383,0,0.23,MBJ,56.936,172.84,5.333,0.194,3,0.093,728.3335,0.976,6,0.296,128.97,1.255,17.545,1.241,18.786,13.75,13.76,0.1,
WRuPb,3,6.192,13.768,19.784,272.389,-8.047,0,0.159,MBJ,59.352,173.822,5.333,0.135,3,0.065,1263.4604,0.467,14,0.08,914.763,1.255,15,1.132,16.132,20.028,82.138,0.1,
YAgC,3,6.061,6.229,18.552,115.565,-5.15,0,0.851,MBJ,55.656,88.025,5.333,0.008,3,0.004,44286.5475,0.755,9,0.174,144.913,1.255,8.348,1.223,9.571,93.095,28.313,0.21,
YAgSi,3,6.45,5.567,22.357,124.463,-5.219,0,0.113,MBJ,67.07,80.654,5.333,1.312,3,0.631,19.3209,1.386,6,0.42,35.589,1.255,8.926,1.164,10.09,3.794,9.689,0.11,
YAuGe,3,6.539,8.517,23.299,198.441,-5.492,0,0.324,MBJ,69.896,83.594,5.333,0.011,6,0.003,52170.0363,0.942,6,0.285,65.832,1.255,5.919,0.945,6.864,268.757,18.611,0.18,
YAuSi,3,6.458,7.742,22.445,173.78,-5.709,0,0.239,PBE,67.335,91.42,5.333,1.492,6,0.452,36.1179,1.145,6,0.347,53.724,1.255,7.908,1.049,8.958,11.835,13.873,0.19,
YAuSn,3,6.736,8.792,25.472,223.942,-5.375,0,0.077,MBJ,76.415,79.89,5.333,0.383,6,0.116,242.675,1.055,6,0.32,53.082,1.255,5.465,0.882,6.347,33.005,17.97,0.15,
YCoS,3,5.874,5.895,16.891,99.579,-6.565,0,0.061,PBE,50.673,108.87,5.333,0.212,3,0.102,401.5211,12.045,4,4.78,1.25,1.255,13.437,1.443,14.88,10.367,1.374,0.2,
YCoTe,3,6.296,7.332,20.794,152.459,-6.278,0,0.872,PBE,62.382,96.335,5.333,4.193,3,2.016,4.0393,8.574,8,2.144,3.684,1.255,9.021,1.136,10.156,2.242,5.763,0.25,
YCuC,3,5.698,5.906,15.414,91.032,-5.793,0,0.085,PBE,46.242,105.963,5.333,1.088,3,0.523,33.6134,0.295,8,0.074,634.879,1.255,11.881,1.467,13.348,4.216,36.421,0.11,
YCuGe,3,6.233,6.173,20.182,124.591,-5.474,0,0.299,MBJ,60.547,82.585,5.333,1.649,3,0.793,14.0402,1.245,6,0.377,42.804,1.255,7.749,1.157,8.906,3.837,11.986,0.2,
YHgAl,3,6.715,6.944,25.229,175.174,-3.819,0,0.084,PBE,75.686,67.389,5.333,0.702,6,0.213,82.4924,0.418,6,0.127,179.537,1.255,4.963,0.915,5.878,20.902,28.528,0.12,
